,ref_id,client_division,description,vendor,contract_value,contract_date,type,date_won,currency
0,WS3137060742,Transportation Services,"For the Design and construct Streetscape improvements on Queen Street East from Coxwell Avenue to Orchard Park Boulevard for the City of Toronto's Transportation Services Division from July 16, 2019 to the date upon which the Owner (City of Toronto) provides the Consultant (MSI Management Limited) with notice that it has accepted the drawings presented by the Consultant",msi management limited,238575.5,02/02/2022,non-competitive,,CAD
1,WS3279313137,Chief Financial Officer,For the provision of deep data analysis and associated detailed reporting related to procure to payment practices (P2P) at the City of Toronto for the City of Toronto's Office of the Controller for a period of three (3) months from date of award,kpmg llp,50000.0,01/28/2022,non-competitive,,CAD
2,SR3340977767 WS3341615112,Information & Technology,"For the provision of the non-exclusive supply, delivery and warranty of Entrust Public SSL Certificate and Services for a period of one (1) year from February 1, 2022 to January 31 2023, for the City of Toronto's,Technology Services Division.",dls technology corporation,30000.0,02/01/2022,non-competitive,,CAD
3,SR3348545062 WS3348758561,Purchasing & Materials Management,For the supply and delivery of Type A Rapid Aid Splash Disposable face Shields needed to support the continued response to the Emergency of COVID-19 Pandemic.,outdoor outfits,316000.0,02/03/2022,non-competitive,,CAD
4,WS3345972018,Fleet Services,"For bridging contract with primary vendor for the non-exclusive supply of all labour, materials and equipment necessary to perform ""overflow"" vehicle maintenance, repairs and inspections to various Light-duty vehicles (Class 1 and 2) in the North York District (District 3), for City of Toronto's Fleet Services Division, on an as-and-when-required basis for a period of six (6) months from February 13, 2022 to August 12, 2022",north keele auto truck repair,93364.61,02/13/2022,non-competitive,,CAD
5,WS3346233634,Fleet Services,"For bridging contract with primary vendor for the non-exclusive supply of all labour, materials and equipment necessary to perform ""overflow"" vehicle maintenance, repairs and inspections to various Medium and Heavy-duty vehicles (Class 3 to 8) in the North York District (District 3), for City of Toronto's Fleet Services Division, on an as-and-when-required basis for a period of six (6) months from February 13, 2022, to August 12, 2022,",north keele auto truck repair,222661.23,02/13/2022,non-competitive,,CAD
6,WS3279695968,Toronto Water,"For the Maintenance and support of Proficy Machine Edition used to View, Troubleshoot and Program Toronto Water Emerson PLCs (Prograrmable Controllers) for the City of Toronto's Toronto Water Division for a period of four (4) years from December 4, 2021 to December 3, 2025",gescan,146174.44,01/28/2022,non-competitive,,CAD
7,WS3321046543 / SR3279047123,Engineering & Construction Services - Engineering Services,For one (1) Virtual Instructor Led Training course session on Health & Safety for ECS ,martell training systems,500.0,01/31/2022,non-competitive,,CAD
8,WS3320539809 / SR330564124,Fire Services,"For the non-exclusive supply of all labour, materials and equipment necessary to perform ""overflow"" vehicle maintenance, repairs and inspections to various Light-duty vehicles (Class 1 and 2) in Command 1 (North), for Toronto Fire Services Division, on an as-and-when-required basis for various locations throughout the City of Toronto, from February 13, 2022 to August 31, 2022",north keele auto repair centre,25000.0,02/13/2022,non-competitive,,CAD
9,WS3333592837,Emergency Medical Services,"For the maintenance and support for Feeling Better Now web based software for the City of Toronto's Paramedic Services Division for a period of one (1) year from January 1, 2022 to December 31, 2022, with the option to renew the Purchase Order for three (3) additional one (1)-year periods.",mensante corporation,9999.0,02/02/2022,non-competitive,,CAD
