,ref_id,client_division,description,vendor,contract_value,contract_date,type,date_won,currency
2338,Doc2736063782,Engineering & Construction Services - Capital Works Delivery,Ashbridges Bay Treatment Plant  Waste Activated Sludge Thickening Facility,Kenaidan Contracting Ltd.,139355528.0,,competitive,09/09/2021,CAD
2285,Doc3032617265,"Parks, Forestry & Recreation",New North East Scarborough Community Recreation Centre and Joyce Trimmer Park Improvements,Aquicon Construction Co. Ltd.,78011400.0,,competitive,01/31/2022,CAD
568, 11136,Toronto Water,"AMENDMENT No. 11 - October 7, 2020 - (NCP 11136),Increased Line Item 90 in the amount of $1,000,000.00 from $38,098,344.81 to $39,098,344.81.,The overall Purchase Order value has been increased from $56,187,540.00 to $57,187,540.00 net of all taxes and charges. All other terms and conditions remain the same.",VEOLIA WATER CANADA INC ,57187540.0,10/15/2020,non-competitive,,CAD
2451,DOC2913757955 (9117-21-7040),Engineering & Construction Services - Capital Works Delivery,"Professional Services for Black Creek Class EA Solution and Design, Construction and Post Construction for Phase One",Black & Veatch Canada Company ,51601017.0,,competitive,12/02/2021,CAD
1313,PW22.3 ,Solid Waste Management Services,"For the provision of the supply, delivery and maintenance of recycling and garbage bins.",Rehrig Pacific Company,47149413.0,01/26/2018,non-competitive,,CAD
2371,Doc2481086143 (3405-20-0131),Accounting Services,Financial Systems Transformation Project,Deloitte Inc.,43645200.0,,competitive,06/02/2021,CAD
2261,Doc2616795118 ,Real Estate Services,Construction of New Fleet Maintenance Facility,CENTURY GROUP INC,34643115.15,,competitive,06/10/2021,CAD
2220,GM 18.11,Information & Technology,"Provision of support and maintenance of Oracle Licenses, and for the purchase of new Licenses, for the period from January 1, 2013 to December 31, 2017.  All in accordance with the Oracle License and Services Agreement V110711",Oracle Canada ULC,24348667.0,01/01/2013,non-competitive,,CAD
225,1006,Transportation Services,"For the Design, Supply, Delivery, Implementation and Support of a Traffic Adaptive Control System Solution (a.k.a. Smart Signals for a period of 5-years:,5 Years - Services Agreement,5 Years - Master Consulting Agreement, and,2 Years - Master Construction Agreement"," TRANSCORE ITS, LLC",19968303.96,06/01/2021,non-competitive,,CAD
2376,Doc2963148010,Information & Technology,ServiceNow Cloud Subscription Services,Deloitte Inc.,19893650.0,,competitive,09/14/2021,CAD
2331,Doc3117986097,Engineering & Construction Services - Engineering Services,Replacement of Glen Road Pedestrian Bridge (ID 249) and Glen Road Pedestrian Tunnel (ID288),EIFFAGE INNOVATIVE CANADA INC,19715345.48,,competitive,01/19/2022,CAD
2341,DOC2761569508 (216-2020),Toronto Water,"Watermain CIPP Lining in North York and Scarborough Districts, Wards 08, 15, 17, 18 & 21 (21TW-CTS-04CWD)",Fer-Pal Construction Ltd.,19028432.0,,competitive,03/31/2021,CAD
2342,DOC2761569521 (217-2020),Toronto Water,Watermain CIPP Lining in North York and Scarborough Districts (21TW-CTS-05CWD),Robert B. Somerville Co. Limited,18950736.0,,competitive,03/31/2021,CAD
230,11705,Facilities Design & Construction,"For professional consulting services for project management services for the Rapid Housing Initiative.  As per Legal Agreement signed May 20, 2021",JONES LANG LASALLE REAL ESTATE,18500000.0,05/20/2021,non-competitive,,CAD
978,9028,"Shelter, Support & Housing Administration","Amendment #4 - May 28, 2019 - (NC# 9882),Added line 50 in the amount of $7,300,000.00 (exclusive of taxes) and amended the validity end date to July 31, 2019 to cover outstanding invoices for the period ending July 31, 2019.",RADISSON HOTEL TORONTO EAST,18500000.0,05/28/2019,non-competitive,,CAD
1571,PE9.3,Environment & Energy Office,"Provision of Structural Assessments and Solar PV installations in the total amount of $17,938,787.01, exclusive of all taxes and charges, for the period from August 12, 2016 to December 31, 2018 all in accordance with the Joint Development Agreement between Toronto Hydro-Electric System Limited and the City of Toronto dated August 12, 2016.",Toronto Hydro Elcectric System Ltd.,17145894.79,11/02/2016,non-competitive,,CAD
2340,DOC2761299375 (215-2020),Toronto Water,"Watermain CIPP Lining in Etobicoke, Toronto & East York and North York Districts (Contract No. 21TW-CTS-03CWD)",Fer-Pal Construction Ltd. ,16842916.0,,competitive,05/12/2021,CAD
2382,2305234907,- Choose one -,Arboricultural Services,ONTARIO LINE CLEARING & TREE EXPERT,15739869.0,,competitive,05/05/2021,CAD
988,GM8.8,Information & Technology,"Amendment # 6 - May 15, 2019,To add line item 70 in the amount of $3,824,363.39, net of all taxes, for the invoice dated September 20, 2019 for the annual software support and maintenance of SAP software. Total value of purchase order increased from $11,384,582.39 to $15,208,945.78 net of all taxes and charges from January 1, 2019 to December 31, 2019.",SAP CANADA INC,15208945.78,05/15/2019,non-competitive,,CAD
987,GM8.8,Information & Technology,"Amendment # 6 - May 15, 2019,To add line item 70 in the amount of $3,824,363.39, net of all taxes, for the invoice dated September 20, 2019 for the annual software support and maintenance of SAP software. Total value of purchase order increased from $11,384,582.39 to $15,208,945.78 net of all taxes and charges from January 1, 2019 to December 31, 2019.",SAP CANADA INC,15208945.78,05/16/2019,non-competitive,,CAD
217,11796,"Parks, Forestry & Recreation","For the construction of the Lower Yonge Street Community Centre, on terms and conditions deemed necessary and appropriate by the General Manager, Parks, Forestry and Recreation and the City Solicitor as per Legal Agreement dated February 2, 2021.", MONDIALE DEVELOPMENT LTD,15113088.16,06/23/2021,non-competitive,,CAD
28,WS3313645286,Purchasing & Materials Management,"For the supply and delivery of Rapid Test Kits (RATs, Rapid Antigen Tests) needed to support the continued response to the Emergency of COVID-19 Pandemic for the City of Toronto's Purchasing and Materials Management Division (Stores) for a period of six (6) months from January 5, 2022 to July 4, 2022",Medline Canada o/a Medical Mart    ,14500000.0,01/05/2022,non-competitive,,CAD
1007,IE2.7,Toronto Water,For the completion of the Ellesmere Pumping Station Power Generators Upgrade.,PLAN GROUP INC.,13960143.2,05/02/2019,non-competitive,,CAD
979,9027,"Shelter, Support & Housing Administration","Amendment #4 - May 28, 2019 - (NC# 9881),Added line 50 in the amount of $6,000,000.00 (exclusive of taxes) and amended the validity end date to July 31, 2019 to cover outstanding invoices for the period ending July 31, 2019.",RADISSON HOTEL TORONTO EAST,13500000.0,05/28/2019,non-competitive,,CAD
2427,  Doc2678413650,Engineering & Construction Services - Engineering Review,"RFP for OE-TA Gardiner Expressway Rehabilitation Project Section 2; Dufferin St to Strachan Ave, nRFP-20ECS-TI-01GE",Parsons Inc.,13394886.84,,competitive,03/27/2021,CAD
34,WS3295878219,Purchasing & Materials Management,"For the supply and delivery of Rapid Test Kits needed to support the continued response to the Emergency of COVID-19 Pandemic for the City of Toronto's Purchasing and Materials Management Division (Stores) from date of award to June 30, 2022",BTNX Inc.,13200000.0,12/22/2021,non-competitive,,CAD
2316,Doc2839106070,Transportation Services,"Request for Tender for Local Roads Resurfacing in Wards 3, 6, 7, 8, 14, 16, 17 and 18(21ECS-TI-14LR)",A&F DICARLO CONSTRUCTION INC,12890818.5,,competitive,06/25/2021,CAD
2315,Doc2839106061,Transportation Services,"Request for Tender for Local Roads Resurfacing in Wards 17, 21, 22, 23, 24 and 26(21ECS-TI-15LR)",VIOLA MANAGEMENT INC,12460560.74,,competitive,06/22/2021,CAD
2284,DOC3029521101,Engineering & Construction Services - Capital Works Delivery,Watermain and Substandard Water Service Replacement and Road Resurfacing at Various Location (21ECS-LU-09SU),2489960 Ontario Inc.,12149968.0,,competitive,09/01/2021,CAD
2314,Doc2838164187,Transportation Services,Request for Tender Local Roads Resurfacing in Wards 1 and 2 (21ECS-TI-13LR),SANSCON CONSTRUCTION LIMITED,11505265.91,,competitive,05/25/2021,CAD
428,11420,Purchasing & Materials Management,"AUTHORITY: GM12.2 adopted by City Council on June 7, 8, and 9, 2016.,AMENDMENT NO. 4 January 12, 2021 - (NCPR 11420),Added Line Item 140 in the amount of $32,602.50 to provide configuration services for twenty-five (25),custom header fields (5 bundles of 5). Total contract value increased from $11,283,623.43 to,$11,316,225.93 exclusive of taxes.,All other terms and conditions remain the same.",SAP CANADA INC,11316225.93,01/18/2021,non-competitive,,CAD
2246,3031373392,- Choose one -,"Midland Avenue – Road Reconstruction, Road Resurfacing, Watermain Replacement and Water Services from Sheppard Avenue Ea",,11110286.55,,competitive,10/27/2021,CAD
2416,Doc3136758808,Fleet Services,Request for Quotation for non-exclusive supply and delivery of Ten (10) Refuse Trailers,,10968605.0,,competitive,01/14/2022,CAD
2273,DOC2922580587 (101-2021),Engineering & Construction Services - Capital Works Delivery,"Watermain & Water service Replacement, Road Resurfacing and Intersections modification Work (Jarvis St)",2489960 Ontario Inc.,9872500.0,,competitive,05/26/2021,CAD
1376,8996,"Shelter, Support & Housing Administration","To add the amount of $9,700,000 net of all taxes until December 31, 2018, to increase the value from $4,400,000 to $14,100,000. For the provision of emergency shelter services for City of Toronto, Shelter, Support and Housing Administration Division.",Quality Hotel & Suites Airport East,9700000.0,11/22/2017,non-competitive,,CAD
76,WS3124666700,Fire Services,Supply and delivery of six (6) 105' rear-mounted aerial devices,Safetek Emergency Vehicles Ltd,9544995.0,11/03/2021,non-competitive,,CAD
976,9755,"Shelter, Support & Housing Administration","Amendment #1 - May 28, 2019 - (NC# 9928),Added line 20 in the amount of $9,000,000.00 (exclusive of taxes) and amended the validity end date to July 31, 2019 to cover outstanding invoices for the period ending July 31, 2019.",2656601 ONTARIO INC,9500000.0,05/28/2019,non-competitive,,CAD
1554,GM12.2,Purchasing & Materials Management,"Provision of SAP Ariba - Proprietary Software as a Service from SAP Canada for Supply Chain Management Transformation for the period from October 31, 2016 to October 30, 2021 all in accordance with the Master Cloud Services Agreement dated October 31, 2016.",SAP Canada Inc.,9481800.68,10/31/2016,non-competitive,,CAD
405,11449,Purchasing & Materials Management,"Amendment - for provision of the professional services of Phase 2 to continue supporting Purchasing and Materials Management Division's Category Management and Strategic Sourcing initiative until May 31, 2022",ERNST & YOUNG LLP,8985000.0,01/28/2021,non-competitive,,CAD
2166,PW20.3,Engineering & Construction Services - Capital Works Delivery,To provide Construction Management and Administration of work in regard to reconfiguration of Front Street West between Bay Street and York Street,TTC - TORONTO TRANSIT COMMISSION,8849557.52,11/19/2013,non-competitive,,CAD
2337,Doc3091578742,Engineering & Construction Services - Capital Works Delivery,Request for Tender for Rehabilitation of High Level Interceptor (HLI) - MH101-094 to MH101-088 (21ECS-LU-03TT),Clearway Construction Inc.,8755857.89,,competitive,11/10/2021,CAD
2412,Doc2838523121,Fleet Services,Doc2838523121 - Request for Quotations for Nine (9) Latest Model Conventional Cab and Chassis,Rush Truck Centres of Canada,8654641.0,,competitive,10/07/2021,CAD
2276,DOC2951402864 (83-2021),Engineering & Construction Services - Capital Works Delivery,Watermain and Road Construction - Various Streets – Etobicoke-York District ,Sanscon Construction Ltd. ,8641211.0,,competitive,07/28/2021,CAD
184,11694,Information & Technology,"For the provision of software support, maintenance, and upgrades for Microsoft Unified Support Program for the period from May 1, 2021 to May 31, 2026, all in accordance with the signed Microsoft Enterprise Services Work Order terms and conditions and the provisions of the Microsoft Services Agreement reference 5555737.",MICROSOFT CANADA INC,8225763.0,04/26/2021,non-competitive,,CAD
271,11694,Information & Technology,"For the provision of software support, maintenance, and upgrades for Microsoft Unified Support Program,for the period from May 1, 2021 to May 31, 2026, all in accordance with the signed Microsoft Enterprise,Services Work Order terms and conditions and the provisions of the Microsoft Services Agreement reference 5555737.",Microsoft Canada Inc,8225763.0,04/26/2021,non-competitive,,CAD
2334, Doc2735481616 (220-2020),Toronto Water,"Supply, Replace and Adjust Frames, Grates and Covers for Catch Basins and Maintenance Holes",Maple Crete Inc.,8099193.0,,competitive,03/24/2021,CAD
257,11635,Facilities Operations,"AUTHORITY: EC21.9, adopted by the Economic & Community Development Committee on April 27, 2021,To extend the validity date from April 30, 2021 to September 30, 2021 and to add $8,074,610 (net of HST) to the contract to continue providing security services at current and potential future City COVID-19 related respite service locations, all in accordance with the signed Amending Agreement on April 2, 2020.",Star Security,8074610.0,05/10/2021,non-competitive,,CAD
2428, Doc3044861985,"Social Development, Finance & Administration",Community Crisis Support Service for Social Development Finance and Administration Division,Gerstein Crisis Centre,7950880.0,,competitive,12/16/2021,CAD
2140,8270,Solid Waste Management Services,"For the non- exclusive supply of all labour, equipment and material necessary to perform Tree Pruning and Removal (Type I - 55' Aerial Bucket and chip box) at various locations for the Parks, Forestry and Recreation Division during the period from January 3, 2014 to June 30, 2014, all in accordance with the Specifications and Terms & Conditions of RFQ #3701-12-0256",WM WELLER TREE SERVICE LTD,7657418.4,01/03/2014,non-competitive,,CAD
2413,Doc2985862687,Fleet Services,Request for Quotations for Twenty-Four (24) Latest Model Utility Trucks,Downtown Auto Group,7618866.0,,competitive,10/07/2021,CAD
2253,Doc 3089746394 ,Engineering & Construction Services - Capital Works Delivery,Overlea Boulevard Bridge over West Don River Interim Repair (ID 315),,7611491.78,,competitive,10/27/2021,CAD
2332,Doc3159772427 ,Engineering & Construction Services - Engineering Services,Major Road Reconstruction and Watermain Replacement on Birchmount Road from Sheppard Avenue East to Huntingwood Drive.,2489960 ONTARIO INC,7547100.0,,competitive,12/03/2021,CAD
2307,Doc2780898047,"Parks, Forestry & Recreation",Request For Tender - Lower Don Trail Phase 2 Improvements ,Pine Valley Corp,7544822.02,,competitive,07/22/2021,CAD
1227,CD29.8,Facilities Operations,"For the emergency provision of the Design-build of three (3) temporary respite facilities at locations to be selected by the City of Toronto all in accordance with the Agreement dated June 13, 2018.",BLT Construction Services Inc.,7497814.22,06/13/2018,non-competitive,,CAD
2251,23-2021 (Doc2821040966 ),Engineering & Construction Services - Engineering Services,"Rehabilitation of Bridge Located at 133 Islington Avenue over Metrolinx Rail, Toronto  ",Grascan Construction Ltd.,7271250.0,,competitive,04/07/2021,CAD
2447,DOC2682219130 (9117-20-7129),Engineering & Construction Services - Capital Works Delivery,Professional Engineering Services for the Rehabilitation and Replacement of Culverts at Various Locations Within the Cit,GHD Limited,6687740.0,,competitive,03/24/2021,CAD
2281,Doc3015166741,Engineering & Construction Services - Engineering Services,Scarborough Transfer Station Source Separated Recyclable Materials (SSRM) Bunker Replacement,,6611965.0,,competitive,09/22/2021,CAD
49,10773,Fleet Services,"For the supply and delivery of the proprietary Original Equipment Manufacturer (OEM) parts and services,for Chrysler, Jeep, Dodge and Ram vehicles.",FCA CANADA INC ,6585824.0,11/19/2021,non-competitive,,CAD
1005,GM8.8,Information & Technology,"Line 30 added for the Support Services for the period from June 29, 2019 to December 31, 2019.",ORACLE CANADA ULC,6547338.94,05/03/2019,non-competitive,,CAD
1006,GM8.8,Information & Technology,"To add Line Item 30 in the amount of $6,356.61, exclusive of taxes, for the 2019 Oracle Technical Support Services for the period from June 29, 2019 to December 31, 2019, all in accordance with Oracle Technical Support Services Renewal Order (Support Service Number 18602187). Total value of purchase order is increased from $6,540,982.33 to $6,547,338.94, exclusive of taxes.",ORACLE CANADA ULC,6547338.94,05/02/2019,non-competitive,,CAD
2439,Doc2972673104,"Social Development, Finance & Administration",Community Crisis Support Service for Social Development Finance and Administration Division,,6419963.0,,competitive,09/09/2021,CAD
2139,8269,Solid Waste Management Services,"For the non-exclusive supply of all labour, equipment and material necessary to perform Tree Pruning and Removal (Type I - 55' Aerial Bucket and chip box) at various locations for the Parks, Forestry and Recreation Division during the period from January 3, 2014 to June 30, 2014, all in accordance with the Specifications and Terms & Conditions of RFQ #3701-12-0256",DAVEY TREE EXPERT CO OF CANADA,6102448.32,01/03/2014,non-competitive,,CAD
336,11189,"Parks, Forestry & Recreation","For the provision of trailer rentals at Centennial Park and Earl Bales Park from May 1, 2021 to December 31, 2021. This Purchase Order is to pay for outstanding invoices only.",ATCO ,6051870.0,03/16/2021,non-competitive,,CAD
109,10846,Facilities Design & Construction,"AUTHORITY: GL15.7, adopted by City Council on September 30, 2020,For the provision of Planning, Design and Conformance Consulting for the George Street Revitalization Project, all in accordance with the CONSULTING SERVICES AGREEMENT Non-Competitive Contract #24126916 made August 9, 2021.",B+H Architects,5965869.39,10/08/2021,non-competitive,,CAD
2247,3037797867,Engineering & Construction Services - Capital Works Delivery,Road Reconstruction on Kingston Road from Deep Dene Drive to Centennial Road.,Midome Construction Services Ltd. ,5328400.0,,competitive,09/23/2021,CAD
146,11640,"Social Development, Finance & Administration","For the supply of proprietary sling accessories, maintenance, testing and repairs to existing resident lift systems used in the City's 10 directly-operated long-term care homes for a five (5) year period from August 1, 2021 to July 31, 2026 as per Legal Agreement dated June 28, 2021.",ARJOHUNTLEIGH CANADA INC,5320395.0,07/13/2021,non-competitive,,CAD
996,9908,Information & Technology,"Amendment #27,To revise unit pricing on line 220 from $4,947.61 to $4,883.37",Softchoice LP,5277745.68,05/09/2019,non-competitive,,CAD
504,10832,Fire Services,"For the provision of the supply and delivery of a Model No. F135RLX, 41 metre Bronto Aerial Device,mounted on a custom E-One chassis and Model No. F70RPX, 70 metre Bronto Aerial Device mounted on,a conventional tri-axle chassis, with respect to the operations of the City Division known as Toronto Fire,Services,",DARCH FIRE INC,5264158.0,12/08/2020,non-competitive,,CAD
2344,Doc3236105085,Engineering & Construction Services - Engineering Services,"RFT for Watermain Replacement on Chartwell Road, Dayton Avenue, Inverness Avenue, and Sinclair Street, Road Resurfacing ",2489960 ONTARIO INC,5236000.0,,competitive,01/31/2022,CAD
219,11797,Information & Technology,To provide Microsoft Office365 licensing as agreed under the terms of Enterprise Enrollment no. 5818760 - (reference 7-VZELVZMGE) and Quote Number 1066644.002	,MICROSOFT CANADA INC,5140800.0,06/11/2021,non-competitive,,CAD
111,11776,Corporate Security,"AMENDMENT #1 - September 24, 2021 - NCP #11776/SR #252,AUTHORITY: GL24.9, adopted by the General Government & Licensing Committee on June 29, 2021,To increase the target value of the Blanket Contract by an additional $5,009,739.75 from $500,000.00 to $5,509,739.75 (net of all taxes and charges) and to extend validity date from April 1, 2021 to September 30, 2022, at a 2.5% Consumer Price Index (CPI) increase, all in accordance with the same terms and conditions of Request for Quotation #3202-17-5080, Blanket Contract #47021453 and with the Extension Agreement made on September 21, 2021.",Met-Scan Canada Ltd.,5009739.75,09/24/2021,non-competitive,,CAD
